Wavelength nm.,Blank_1 - RawData,Blank_2 - RawData,DHL_1 - RawData,DHL_2 - RawData,DHL_3 - RawData,PON2_1 - RawData,PON2_2 - RawData,PON2_3 - RawData,DtP_1 - RawData,DtP_2 - RawData,DHL_PON2_1 - RawData,NaOH_1 - RawData,DHL_NaOH_1 - RawData,DHL_NaOH_2 - RawData,DHL_NaOH_3 - RawData
250,-0.08734,-0.07662,-0.08745,-0.08501,-0.06696,-0.09239,-0.08408,-0.08574,-0.11106,-0.09737,-0.09073,-0.08282,-0.02398,-0.01786,-0.02963
251,-0.08427,-0.08861,-0.08051,-0.07666,-0.06539,-0.0934,-0.08441,-0.0876,-0.09482,-0.08891,-0.10203,-0.08946,-0.01837,-0.0209,-0.01934
252,-0.08323,-0.07455,-0.08501,-0.08242,-0.07978,-0.08299,-0.08112,-0.08435,-0.10517,-0.09598,-0.08624,-0.0911,-0.0201,-0.02217,-0.03305
253,-0.07779,-0.07753,-0.07085,-0.08055,-0.07417,-0.08144,-0.08547,-0.07864,-0.09342,-0.08825,-0.08387,-0.09109,-0.0108,-0.02012,-0.01436
254,-0.07535,-0.06753,-0.07997,-0.08789,-0.08019,-0.08287,-0.08739,-0.07295,-0.10308,-0.08796,-0.06815,-0.09175,-0.02188,-0.0169,-0.03162
255,-0.07815,-0.07027,-0.07045,-0.08186,-0.07439,-0.08362,-0.08715,-0.06416,-0.09014,-0.07973,-0.08017,-0.09138,-0.01763,-0.0111,-0.01689
256,-0.08143,-0.06401,-0.07968,-0.07754,-0.08306,-0.08457,-0.08754,-0.07027,-0.10406,-0.09288,-0.08518,-0.08806,-0.02511,-0.01285,-0.0355
257,-0.08059,-0.07851,-0.06521,-0.07677,-0.08088,-0.07325,-0.07889,-0.06714,-0.08775,-0.08524,-0.09703,-0.07833,-0.01215,-0.01236,-0.02279
258,-0.08064,-0.07253,-0.0764,-0.08456,-0.0861,-0.07501,-0.08055,-0.07594,-0.09444,-0.09589,-0.0964,-0.08857,-0.02288,-0.01964,-0.03427
259,-0.07234,-0.0783,-0.0681,-0.07697,-0.07885,-0.07383,-0.07725,-0.06792,-0.07666,-0.08307,-0.09835,-0.09131,-0.01391,-0.01681,-0.01296
260,-0.06795,-0.06586,-0.07756,-0.07353,-0.0754,-0.08297,-0.09017,-0.07084,-0.09448,-0.08161,-0.09418,-0.09732,-0.0249,-0.01533,-0.00501
261,-0.06312,-0.07033,-0.07484,-0.06254,-0.08212,-0.07684,-0.08936,-0.06136,-0.0843,-0.07986,-0.09582,-0.07993,-0.0144,-0.01416,-0.00266
262,-0.06756,-0.06328,-0.08185,-0.07731,-0.07953,-0.07376,-0.0893,-0.06995,-0.10283,-0.08198,-0.08979,-0.08153,-0.01452,-0.00511,-0.00172
263,-0.07113,-0.07421,-0.07848,-0.07471,-0.08593,-0.06124,-0.08467,-0.07153,-0.0893,-0.09513,-0.08556,-0.07548,-0.01163,-0.00826,-0.01368
264,-0.06625,-0.06477,-0.07196,-0.08431,-0.06741,-0.06995,-0.08946,-0.08468,-0.09967,-0.08963,-0.07407,-0.07829,-0.02036,0.00038,-0.00272
265,-0.07524,-0.07464,-0.07741,-0.07769,-0.07165,-0.06299,-0.08619,-0.07349,-0.08053,-0.10096,-0.06927,-0.07532,-0.0189,-0.01082,-0.01476
266,-0.07654,-0.05872,-0.07284,-0.07919,-0.06303,-0.06978,-0.08505,-0.08399,-0.09772,-0.09224,-0.06859,-0.07881,-0.01178,-0.00179,-0.00269
