Time,average,sem,ul original,media
0,0.092666667,0.002403701,0,TSB
0,0.066333333,0.002333333,0,LB
0,1.073666667,0.002603417,100,TSB
0,0.808666667,0.008950481,100,LB
0,0.204,0.001,9.090909091,TSB
0,0.149333333,0.001333333,9.090909091,LB
0,0.100666667,0.001763834,0.826446281,TSB
0,0.076333333,0.001855921,0.826446281,LB
0,0.092333333,0.000881917,0.07513148,TSB
0,0.066333333,0.000666667,0.07513148,LB
0,0.090666667,0.002027588,0.006830135,TSB
0,0.067333333,0.001452966,0.006830135,LB
1784.2,0.088333333,0.000881917,0,TSB
1784.2,0.066,0.00057735,0,LB
1784.2,1.250333333,0.001855921,100,TSB
1784.2,0.835,0.004163332,100,LB
1784.2,0.241,0.001527525,9.090909091,TSB
1784.2,0.182,1.96262E-17,9.090909091,LB
1784.2,0.105,0.001527525,0.826446281,TSB
1784.2,0.079,0.001527525,0.826446281,LB
1784.2,0.09,0.001,0.07513148,TSB
1784.2,0.064666667,0.000881917,0.07513148,LB
1784.2,0.090333333,0.001452966,0.006830135,TSB
1784.2,0.067,0.001527525,0.006830135,LB
3567.1,0.097333333,0.004055175,0,TSB
3567.1,0.074333333,0.006064468,0,LB
3567.1,1.392333333,0.00779601,100,TSB
3567.1,0.886333333,0.001452966,100,LB
3567.1,0.370666667,0.004910307,9.090909091,TSB
3567.1,0.277,0.001732051,9.090909091,LB
3567.1,0.132333333,0.004484541,0.826446281,TSB
3567.1,0.102666667,0.004055175,0.826446281,LB
3567.1,0.103,0.004163332,0.07513148,TSB
3567.1,0.077333333,0.003333333,0.07513148,LB
3567.1,0.103,0.002,0.006830135,TSB
3567.1,0.072333333,0.000666667,0.006830135,LB
5349.9,0.105666667,0.005840472,0,TSB
5349.9,0.079,0.001527525,0,LB
5349.9,1.408,0.010535654,100,TSB
5349.9,0.922666667,0.003179797,100,LB
5349.9,0.562,0.003464102,9.090909091,TSB
5349.9,0.349333333,0.006227181,9.090909091,LB
5349.9,0.165666667,0.001855921,0.826446281,TSB
5349.9,0.137333333,0.002333333,0.826446281,LB
5349.9,0.112333333,0.001333333,0.07513148,TSB
5349.9,0.085666667,0.002333333,0.07513148,LB
5349.9,0.105333333,0.000881917,0.006830135,TSB
5349.9,0.077666667,0.001452966,0.006830135,LB
7132.7,0.098,0.002516611,0,TSB
7132.7,0.070666667,0.002403701,0,LB
7132.7,1.408333333,0.005238745,100,TSB
7132.7,0.944666667,0.003179797,100,LB
7132.7,0.75,0.005033223,9.090909091,TSB
7132.7,0.385666667,0.002848001,9.090909091,LB
7132.7,0.219333333,0.001763834,0.826446281,TSB
7132.7,0.181333333,0.002185813,0.826446281,LB
7132.7,0.108666667,0.000333333,0.07513148,TSB
7132.7,0.083333333,0.000333333,0.07513148,LB
7132.7,0.091333333,0.00120185,0.006830135,TSB
7132.7,0.069666667,0.001452966,0.006830135,LB
8915.5,0.095,0.002886751,0,TSB
8915.5,0.067333333,0.001666667,0,LB
8915.5,1.42,0.006658328,100,TSB
8915.5,0.969333333,0.004630815,100,LB
8915.5,1.099333333,0.010728985,9.090909091,TSB
8915.5,0.424,0.004358899,9.090909091,LB
8915.5,0.354666667,0.003179797,0.826446281,TSB
8915.5,0.247333333,0.004333333,0.826446281,LB
8915.5,0.123666667,0.00120185,0.07513148,TSB
8915.5,0.099,0.005131601,0.07513148,LB
8915.5,0.092333333,0.003929942,0.006830135,TSB
8915.5,0.062333333,0.005238745,0.006830135,LB
10698.3,0.092333333,0.001666667,0,TSB
10698.3,0.065,0.002645751,0,LB
10698.3,1.426333333,0.004176655,100,TSB
10698.3,0.985666667,0.002603417,100,LB
10698.3,1.386333333,0.01068228,9.090909091,TSB
10698.3,0.493,0.015044379,9.090909091,LB
10698.3,0.611,0.01266228,0.826446281,TSB
10698.3,0.325333333,0.009243616,0.826446281,LB
10698.3,0.162,0.002,0.07513148,TSB
10698.3,0.153666667,0.004096069,0.07513148,LB
10698.3,0.1,0.002645751,0.006830135,TSB
10698.3,0.074,0.002081666,0.006830135,LB
12481.2,0.090333333,0.004255715,0,TSB
12481.2,0.060333333,0.002403701,0,LB
12481.2,1.427,0.003,100,TSB
12481.2,0.993333333,0.002403701,100,LB
12481.2,1.473333333,0.010713439,9.090909091,TSB
12481.2,0.543333333,0.013642255,9.090909091,LB
12481.2,0.806,0.016462078,0.826446281,TSB
12481.2,0.402333333,0.020899229,0.826446281,LB
12481.2,0.256333333,0.004910307,0.07513148,TSB
12481.2,0.208,0.003785939,0.07513148,LB
12481.2,0.111666667,0.000666667,0.006830135,TSB
12481.2,0.091,0.002516611,0.006830135,LB
14264,0.098,0.001732051,0,TSB
14264,0.070333333,0.001763834,0,LB
14264,1.441333333,0.006741249,100,TSB
14264,1.013333333,0.003333333,100,LB
14264,1.459666667,0.009261629,9.090909091,TSB
14264,0.596333333,0.021050205,9.090909091,LB
14264,1.215666667,0.008006941,0.826446281,TSB
14264,0.402,0.010016653,0.826446281,LB
14264,0.468,0.007094599,0.07513148,TSB
14264,0.291,0.012503333,0.07513148,LB
14264,0.144666667,0.002403701,0.006830135,TSB
14264,0.132666667,0.003179797,0.006830135,LB
16046.8,0.095666667,0.002603417,0,TSB
16046.8,0.065666667,0.001666667,0,LB
16046.8,1.437666667,0.005925463,100,TSB
16046.8,1.019666667,0.002185813,100,LB
16046.8,1.391666667,0.010170764,9.090909091,TSB
16046.8,0.607666667,0.01488101,9.090909091,LB
16046.8,1.425,0.012897028,0.826446281,TSB
16046.8,0.405333333,0.006333333,0.826446281,LB
16046.8,0.737,0.011590226,0.07513148,TSB
16046.8,0.344666667,0.007446103,0.07513148,LB
16046.8,0.205,0.009291573,0.006830135,TSB
16046.8,0.208,0.009712535,0.006830135,LB
17829.7,0.102333333,0.004702245,0,TSB
17829.7,0.072,0.001527525,0,LB
17829.7,1.443,0.004932883,100,TSB
17829.7,1.038666667,0.000881917,100,LB
17829.7,1.370333333,0.008089774,9.090909091,TSB
17829.7,0.612,0.014433757,9.090909091,LB
17829.7,1.574,0.019035055,0.826446281,TSB
17829.7,0.437666667,0.014813657,0.826446281,LB
17829.7,0.917333333,0.026722857,0.07513148,TSB
17829.7,0.375333333,0.010898522,0.07513148,LB
17829.7,0.364333333,0.022183578,0.006830135,TSB
17829.7,0.259,0.002516611,0.006830135,LB
19612.7,0.092666667,0.002333333,0,TSB
19612.7,0.066,0.003,0,LB
19612.7,1.430333333,0.006064468,100,TSB
19612.7,1.037333333,0.00120185,100,LB
19612.7,1.35,0.009609024,9.090909091,TSB
19612.7,0.604333333,0.01219745,9.090909091,LB
19612.7,1.598,0.021501938,0.826446281,TSB
19612.7,0.441333333,0.016374099,0.826446281,LB
19612.7,1.302666667,0.017891649,0.07513148,TSB
19612.7,0.388333333,0.013739643,0.07513148,LB
19612.7,0.580666667,0.025208023,0.006830135,TSB
19612.7,0.330333333,0.003711843,0.006830135,LB
21395.6,0.093333333,0.002905933,0,TSB
21395.6,0.064,0.001,0,LB
21395.6,1.43,0.006806859,100,TSB
21395.6,1.052333333,0.003527668,100,LB
21395.6,1.338333333,0.01219745,9.090909091,TSB
21395.6,0.612666667,0.009492687,9.090909091,LB
21395.6,1.509333333,0.014518188,0.826446281,TSB
21395.6,0.449333333,0.01713022,0.826446281,LB
21395.6,1.454333333,0.015191372,0.07513148,TSB
21395.6,0.412,0.008082904,0.07513148,LB
21395.6,0.783666667,0.043321793,0.006830135,TSB
21395.6,0.354,0.010016653,0.006830135,LB
23178.6,0.104333333,0.003282953,0,TSB
23178.6,0.073333333,0.002403701,0,LB
23178.6,1.429,0.007637626,100,TSB
23178.6,1.068,0.006244998,100,LB
23178.6,1.342,0.010115994,9.090909091,TSB
23178.6,0.627333333,0.010170764,9.090909091,LB
23178.6,1.430333333,0.005456902,0.826446281,TSB
23178.6,0.472333333,0.018223916,0.826446281,LB
23178.6,1.586333333,0.022168546,0.07513148,TSB
23178.6,0.435333333,0.010525102,0.07513148,LB
23178.6,1.053,0.037242449,0.006830135,TSB
23178.6,0.393,0.011015141,0.006830135,LB
24961.6,0.099,0.003464102,0,TSB
24961.6,0.073,0.003,0,LB
24961.6,1.424,0.008717798,100,TSB
24961.6,1.073666667,0.007688375,100,LB
24961.6,1.338,0.014153916,9.090909091,TSB
24961.6,0.637,0.011150486,9.090909091,LB
24961.6,1.389,0.006027714,0.826446281,TSB
24961.6,0.483,0.01761628,0.826446281,LB
24961.6,1.596666667,0.003480102,0.07513148,TSB
24961.6,0.446333333,0.006960204,0.07513148,LB
24961.6,1.402333333,0.029156665,0.006830135,TSB
24961.6,0.418,0.011015141,0.006830135,LB
26744.6,0.096666667,0.003333333,0,TSB
26744.6,0.065333333,0.002185813,0,LB
26744.6,1.413666667,0.009871395,100,TSB
26744.6,1.077,0.008962886,100,LB
26744.6,1.328333333,0.009820613,9.090909091,TSB
26744.6,0.634666667,0.013345827,9.090909091,LB
26744.6,1.38,0.011015141,0.826446281,TSB
26744.6,0.485666667,0.016374099,0.826446281,LB
26744.6,1.493666667,0.014193113,0.07513148,TSB
26744.6,0.452333333,0.00664162,0.07513148,LB
26744.6,1.529666667,0.023918844,0.006830135,TSB
26744.6,0.441666667,0.009820613,0.006830135,LB
28527.8,0.099,0.002081666,0,TSB
28527.8,0.072,0.002,0,LB
28527.8,1.411,0.008504901,100,TSB
28527.8,1.087333333,0.009905105,100,LB
28527.8,1.328333333,0.012128937,9.090909091,TSB
28527.8,0.651666667,0.010974718,9.090909091,LB
