Time s,Column,ABS410,Row
0,1,0.5,A
0,2,0.435,A
0,3,0.476,A
0,4,0.597,A
0,5,0.652,A
0,6,0.796,A
0,7,0.854,A
0,8,0.531,A
0,9,1.985,A
0,10,0.841,A
0,11,1.134,A
0,12,0.483,A
0,1,0.515,B
0,2,0.451,B
0,3,0.512,B
0,4,0.589,B
0,5,0.683,B
0,6,0.802,B
0,7,0.896,B
0,8,0.523,B
0,9,1.929,B
0,10,0.865,B
0,11,1.318,B
0,12,0.503,B
0,1,0.5,C
0,2,0.441,C
0,3,0.514,C
0,4,0.582,C
0,5,0.664,C
0,6,0.836,C
0,7,0.792,C
0,8,0.512,C
0,9,1.979,C
0,10,0.862,C
0,11,1.397,C
0,12,0.49,C
593.3,1,0.506,A
593.3,2,0.434,A
593.3,3,0.48,A
593.3,4,0.583,A
593.3,5,0.643,A
593.3,6,0.795,A
593.3,7,0.853,A
593.3,8,0.535,A
593.3,9,1.962,A
593.3,10,0.839,A
593.3,11,1.136,A
593.3,12,0.487,A
593.3,1,0.523,B
593.3,2,0.446,B
593.3,3,0.504,B
593.3,4,0.581,B
593.3,5,0.675,B
593.3,6,0.797,B
593.3,7,0.888,B
593.3,8,0.518,B
593.3,9,1.85,B
593.3,10,0.859,B
593.3,11,1.295,B
593.3,12,0.527,B
593.3,1,0.512,C
593.3,2,0.436,C
593.3,3,0.508,C
593.3,4,0.58,C
593.3,5,0.661,C
593.3,6,0.828,C
593.3,7,0.794,C
593.3,8,0.516,C
593.3,9,1.928,C
593.3,10,0.862,C
593.3,11,1.494,C
593.3,12,0.515,C
1186.6,1,0.511,A
1186.6,2,0.435,A
1186.6,3,0.479,A
1186.6,4,0.585,A
1186.6,5,0.644,A
1186.6,6,0.789,A
1186.6,7,0.855,A
1186.6,8,0.539,A
1186.6,9,1.923,A
1186.6,10,0.838,A
1186.6,11,1.182,A
1186.6,12,0.503,A
1186.6,1,0.53,B
1186.6,2,0.448,B
1186.6,3,0.507,B
1186.6,4,0.585,B
1186.6,5,0.678,B
1186.6,6,0.794,B
1186.6,7,0.894,B
1186.6,8,0.522,B
1186.6,9,1.905,B
1186.6,10,0.857,B
1186.6,11,1.29,B
1186.6,12,0.532,B
1186.6,1,0.52,C
1186.6,2,0.442,C
1186.6,3,0.511,C
1186.6,4,0.578,C
1186.6,5,0.661,C
1186.6,6,0.834,C
1186.6,7,0.801,C
1186.6,8,0.523,C
1186.6,9,1.909,C
1186.6,10,0.861,C
1186.6,11,1.537,C
1186.6,12,0.523,C
1779.9,1,0.517,A
1779.9,2,0.431,A
1779.9,3,0.477,A
1779.9,4,0.583,A
1779.9,5,0.641,A
1779.9,6,0.789,A
1779.9,7,0.85,A
1779.9,8,0.547,A
1779.9,9,1.931,A
1779.9,10,0.834,A
1779.9,11,1.291,A
1779.9,12,0.511,A
1779.9,1,0.539,B
1779.9,2,0.443,B
1779.9,3,0.508,B
1779.9,4,0.586,B
1779.9,5,0.678,B
1779.9,6,0.801,B
1779.9,7,0.897,B
1779.9,8,0.538,B
1779.9,9,1.852,B
1779.9,10,0.858,B
1779.9,11,1.271,B
1779.9,12,0.538,B
1779.9,1,0.528,C
1779.9,2,0.439,C
1779.9,3,0.511,C
1779.9,4,0.579,C
1779.9,5,0.66,C
1779.9,6,0.829,C
1779.9,7,0.8,C
1779.9,8,0.528,C
1779.9,9,1.89,C
1779.9,10,0.86,C
1779.9,11,1.558,C
1779.9,12,0.514,C
2373.3,1,0.523,A
2373.3,2,0.433,A
2373.3,3,0.481,A
2373.3,4,0.583,A
2373.3,5,0.642,A
2373.3,6,0.789,A
2373.3,7,0.848,A
2373.3,8,0.547,A
2373.3,9,1.936,A
2373.3,10,0.83,A
2373.3,11,1.267,A
2373.3,12,0.517,A
2373.3,1,0.541,B
2373.3,2,0.442,B
2373.3,3,0.506,B
2373.3,4,0.581,B
2373.3,5,0.67,B
2373.3,6,0.792,B
2373.3,7,0.884,B
2373.3,8,0.539,B
2373.3,9,1.858,B
2373.3,10,0.854,B
2373.3,11,1.259,B
2373.3,12,0.551,B
2373.3,1,0.542,C
2373.3,2,0.448,C
2373.3,3,0.52,C
2373.3,4,0.575,C
2373.3,5,0.656,C
2373.3,6,0.828,C
2373.3,7,0.797,C
2373.3,8,0.531,C
2373.3,9,1.845,C
2373.3,10,0.852,C
2373.3,11,1.56,C
2373.3,12,0.536,C
2966.5,1,0.528,A
2966.5,2,0.436,A
2966.5,3,0.488,A
2966.5,4,0.587,A
2966.5,5,0.644,A
2966.5,6,0.789,A
2966.5,7,0.849,A
2966.5,8,0.557,A
2966.5,9,1.951,A
2966.5,10,0.834,A
2966.5,11,1.353,A
2966.5,12,0.529,A
2966.5,1,0.551,B
2966.5,2,0.449,B
2966.5,3,0.513,B
2966.5,4,0.589,B
2966.5,5,0.68,B
2966.5,6,0.804,B
2966.5,7,0.895,B
2966.5,8,0.551,B
2966.5,9,1.837,B
2966.5,10,0.857,B
2966.5,11,1.286,B
2966.5,12,0.569,B
2966.5,1,0.544,C
2966.5,2,0.438,C
2966.5,3,0.517,C
2966.5,4,0.578,C
2966.5,5,0.66,C
2966.5,6,0.83,C
2966.5,7,0.8,C
2966.5,8,0.539,C
2966.5,9,1.85,C
2966.5,10,0.855,C
2966.5,11,1.58,C
2966.5,12,0.535,C
3559.8,1,0.528,A
3559.8,2,0.435,A
3559.8,3,0.488,A
3559.8,4,0.581,A
3559.8,5,0.642,A
3559.8,6,0.785,A
3559.8,7,0.846,A
3559.8,8,0.559,A
3559.8,9,1.961,A
3559.8,10,0.829,A
3559.8,11,1.383,A
3559.8,12,0.528,A
